时间,赞,赞.href
2014年11月13日,453,https://m.facebook.com/story.php?story_fbid=860274400671634&id=211662168866197&refid=17
2014年11月13日,"1,061",https://m.facebook.com/story.php?story_fbid=860259977339743&id=211662168866197&refid=17
2014年11月13日,297,https://m.facebook.com/story.php?story_fbid=860253117340429&id=211662168866197&refid=17
2014年11月13日,875,https://m.facebook.com/story.php?story_fbid=860249900674084&id=211662168866197&refid=17
2014年11月13日,"3,349",https://m.facebook.com/story.php?story_fbid=860248370674237&id=211662168866197&refid=17
2014年11月13日,593,https://m.facebook.com/story.php?story_fbid=860234160675658&id=211662168866197&refid=17
2014年11月13日,"1,330",https://m.facebook.com/story.php?story_fbid=860198537345887&id=211662168866197&refid=17
2014年11月13日,482,https://m.facebook.com/story.php?story_fbid=860175084014899&id=211662168866197&refid=17
11月13日上午 11:24,"1,772",https://m.facebook.com/story.php?story_fbid=860146920684382&id=211662168866197&refid=17
11月13日上午 10:46,136,https://m.facebook.com/story.php?story_fbid=860137417351999&id=211662168866197&refid=17
11月13日上午 10:27,363,https://m.facebook.com/story.php?story_fbid=860131357352605&id=211662168866197&refid=17
11月12日下午 11:26,429,https://m.facebook.com/story.php?story_fbid=859893167376424&id=211662168866197&refid=17
11月12日下午 7:58,245,https://m.facebook.com/story.php?story_fbid=859811854051222&id=211662168866197&refid=17
11月12日下午 7:55,"1,672",https://m.facebook.com/story.php?story_fbid=859810884051319&id=211662168866197&refid=17
11月12日下午 6:52,140,https://m.facebook.com/story.php?story_fbid=859787894053618&id=211662168866197&refid=17
11月12日下午 5:12,524,https://m.facebook.com/story.php?story_fbid=859760860722988&id=211662168866197&refid=17
2014年11月12日下午 5:10,539,https://m.facebook.com/Scholarism/photos/a.217979064901174.59816.211662168866197/859760494056358/?type=1&source=46&refid=17
11月12日下午 5:08,374,https://m.facebook.com/story.php?story_fbid=859760264056381&id=211662168866197&refid=17
11月12日下午 4:15,485,https://m.facebook.com/story.php?story_fbid=859748234057584&id=211662168866197&refid=17
11月12日下午 3:35,564,https://m.facebook.com/story.php?story_fbid=859738860725188&id=211662168866197&refid=17
11月12日下午 2:55,811,https://m.facebook.com/story.php?story_fbid=859730720726002&id=211662168866197&refid=17
11月12日下午 2:00,"1,320",https://m.facebook.com/Scholarism/photos/a.217979064901174.59816.211662168866197/859669127398828/?type=1&source=46&refid=17
11月12日下午 12:41,"1,640",https://m.facebook.com/story.php?story_fbid=859696310729443&id=211662168866197&refid=17
11月12日下午 12:32,188,https://m.facebook.com/story.php?story_fbid=859693824063025&id=211662168866197&refid=17
11月12日上午 10:52,"1,361",https://m.facebook.com/Scholarism/photos/a.217979064901174.59816.211662168866197/859664747399266/?type=1&source=46&refid=17
11月11日下午 11:04,"1,091",https://m.facebook.com/story.php?story_fbid=859390740760000&id=211662168866197&refid=17
11月11日下午 7:30,697,https://m.facebook.com/Scholarism/photos/a.217979064901174.59816.211662168866197/859299537435787/?type=1&source=46&refid=17
11月11日下午 7:06,"2,048",https://m.facebook.com/Scholarism/photos/a.217979064901174.59816.211662168866197/859289450770129/?type=1&source=46&refid=17
11月11日下午 4:59,717,https://m.facebook.com/story.php?story_fbid=859251290773945&id=211662168866197&refid=17
11月11日下午 3:47,959,https://m.facebook.com/story.php?story_fbid=859234047442336&id=211662168866197&refid=17
11月11日下午 2:55,"1,008",https://m.facebook.com/story.php?story_fbid=859222150776859&id=211662168866197&refid=17
11月11日下午 1:37,436,https://m.facebook.com/story.php?story_fbid=859201994112208&id=211662168866197&refid=17
11月11日下午 1:23,423,https://m.facebook.com/story.php?story_fbid=859198594112548&id=211662168866197&refid=17
11月11日下午 12:34,266,https://m.facebook.com/story.php?story_fbid=859186227447118&id=211662168866197&refid=17
11月11日下午 12:26,753,https://m.facebook.com/story.php?story_fbid=859184127447328&id=211662168866197&refid=17
11月11日下午 12:02,187,https://m.facebook.com/story.php?story_fbid=859178607447880&id=211662168866197&refid=17
11月11日上午 10:59,"1,074",https://m.facebook.com/Scholarism/photos/a.598415333524210.1073741835.211662168866197/859158724116535/?type=1&source=46&refid=17
11月10日下午 11:58,239,https://m.facebook.com/Scholarism/photos/a.598415333524210.1073741835.211662168866197/858885447477196/?type=1&source=46&refid=17
11月10日下午 11:38,388,https://m.facebook.com/Scholarism/photos/a.598415333524210.1073741835.211662168866197/858876057478135/?type=1&source=46&refid=17
11月10日下午 10:47,928,https://m.facebook.com/story.php?story_fbid=858852644147143&id=211662168866197&refid=17
11月10日下午 9:47,546,https://m.facebook.com/Scholarism/photos/a.598415333524210.1073741835.211662168866197/858825007483240/?type=1&source=46&refid=17
11月10日下午 9:45,237,https://m.facebook.com/story.php?story_fbid=858824787483262&id=211662168866197&refid=17
11月10日下午 8:21,295,https://m.facebook.com/story.php?story_fbid=858785410820533&id=211662168866197&refid=17
11月10日下午 4:53,125,https://m.facebook.com/story.php?story_fbid=858703557495385&id=211662168866197&refid=17
11月10日下午 3:54,118,https://m.facebook.com/story.php?story_fbid=858683214164086&id=211662168866197&refid=17
11月10日下午 2:03,285,https://m.facebook.com/Scholarism/photos/a.217979064901174.59816.211662168866197/858653787500362/?type=1&source=46&refid=17
11月10日下午 2:00,138,https://m.facebook.com/story.php?story_fbid=858653227500418&id=211662168866197&refid=17
11月10日上午 11:21,458,https://m.facebook.com/story.php?story_fbid=858589337506807&id=211662168866197&refid=17
11月10日上午 11:06,262,https://m.facebook.com/story.php?story_fbid=858578477507893&id=211662168866197&refid=17
11月10日上午 3:06,240,https://m.facebook.com/story.php?story_fbid=858394667526274&id=211662168866197&refid=17
11月10日上午 1:17,340,https://m.facebook.com/story.php?story_fbid=858350417530699&id=211662168866197&refid=17
11月10日上午 12:46,"1,555",https://m.facebook.com/Scholarism/photos/a.598415333524210.1073741835.211662168866197/858333904199017/?type=1&source=46&refid=17
11月9日下午 11:51,"1,264",https://m.facebook.com/story.php?story_fbid=858309344201473&id=211662168866197&refid=17
11月9日下午 11:43,579,https://m.facebook.com/story.php?story_fbid=858303764202031&id=211662168866197&refid=17
11月9日下午 7:19,445,https://m.facebook.com/story.php?story_fbid=858192370879837&id=211662168866197&refid=17
11月9日下午 7:00,393,https://m.facebook.com/Scholarism/photos/a.598415333524210.1073741835.211662168866197/858185970880477/?type=1&source=46&refid=17
11月9日下午 6:23,"1,106",https://m.facebook.com/story.php?story_fbid=858175700881504&id=211662168866197&refid=17
11月9日下午 6:13,523,https://m.facebook.com/Scholarism/photos/a.598415333524210.1073741835.211662168866197/858172597548481/?type=1&source=46&refid=17
11月9日下午 5:49,359,https://m.facebook.com/Scholarism/photos/a.598415333524210.1073741835.211662168866197/858166174215790/?type=1&source=46&refid=17
11月9日下午 2:56,"1,905",https://m.facebook.com/story.php?story_fbid=858121347553606&id=211662168866197&refid=17
11月9日下午 2:45,"1,250",https://m.facebook.com/Scholarism/photos/a.598415333524210.1073741835.211662168866197/858118270887247/?type=1&source=46&refid=17
11月9日下午 12:47,243,https://m.facebook.com/story.php?story_fbid=858090210890053&id=211662168866197&refid=17
2014年11月9日,692,https://m.facebook.com/Scholarism/photos/a.598415333524210.1073741835.211662168866197/858071710891903/?type=1&source=46&refid=17
2014年11月9日,"1,707",https://m.facebook.com/Scholarism/photos/a.217979064901174.59816.211662168866197/858015904230817/?type=1&source=46&refid=17
2014年11月9日,"1,755",https://m.facebook.com/Scholarism/photos/a.217979064901174.59816.211662168866197/858024284229979/?type=1&source=46&refid=17
2014年11月9日,543,https://m.facebook.com/story.php?story_fbid=857807174251690&id=211662168866197&refid=17
2014年11月8日,"1,706",https://m.facebook.com/Scholarism/photos/a.598415333524210.1073741835.211662168866197/857746530924421/?type=1&source=46&refid=17
2014年11月8日,603,https://m.facebook.com/story.php?story_fbid=857731030925971&id=211662168866197&refid=17
2014年11月8日,160,https://m.facebook.com/story.php?story_fbid=857699740929100&id=211662168866197&refid=17
2014年11月8日,219,https://m.facebook.com/story.php?story_fbid=857627460936328&id=211662168866197&refid=17
2014年11月8日,"2,101",https://m.facebook.com/story.php?story_fbid=857623264270081&id=211662168866197&refid=17
2014年11月8日,319,https://m.facebook.com/story.php?story_fbid=857616057604135&id=211662168866197&refid=17
2014年11月8日,529,https://m.facebook.com/Scholarism/photos/a.217979064901174.59816.211662168866197/857614870937587/?type=1&source=46&refid=17
2014年11月8日,922,https://m.facebook.com/Scholarism/photos/a.598415333524210.1073741835.211662168866197/857592267606514/?type=1&source=46&refid=17
2014年11月7日,"1,660",https://m.facebook.com/story.php?story_fbid=856911344341273&id=211662168866197&refid=17
2014年11月5日,304,https://m.facebook.com/story.php?story_fbid=855868844445523&id=211662168866197&refid=17
2014年11月5日,"1,826",https://m.facebook.com/story.php?story_fbid=855732524459155&id=211662168866197&refid=17
2014年11月4日,285,https://m.facebook.com/Scholarism/photos/a.217979064901174.59816.211662168866197/855334544498953/?type=1&source=46&refid=17
2014年11月2日,761,https://m.facebook.com/Scholarism/photos/a.217979064901174.59816.211662168866197/854118847953856/?type=1&source=46&refid=17
2014年10月30日,500,https://m.facebook.com/story.php?story_fbid=852465978119143&id=211662168866197&refid=17
2014年10月28日,"2,283",https://m.facebook.com/story.php?story_fbid=851556451543429&id=211662168866197&refid=17
2014年10月27日,"2,983",https://m.facebook.com/story.php?story_fbid=850996801599394&id=211662168866197&refid=17
2014年10月24日,"1,088",https://m.facebook.com/Scholarism/photos/a.360868947278851.86944.211662168866197/849170825115325/?type=1&relevant_count=1&refid=17
2014年10月22日,"1,312",https://m.facebook.com/Scholarism/photos/a.217979064901174.59816.211662168866197/848034641895610/?type=1&source=46&refid=17
2014年10月22日,709,https://m.facebook.com/story.php?story_fbid=847998495232558&id=211662168866197&refid=17
2014年10月20日,984,https://m.facebook.com/Scholarism/albums/846954005337007/?refid=17
2014年10月19日,989,https://m.facebook.com/story.php?story_fbid=845894008776340&id=211662168866197&refid=17
2014年10月17日,475,https://m.facebook.com/story.php?story_fbid=845204402178634&id=211662168866197&refid=17
2014年10月17日,536,https://m.facebook.com/story.php?story_fbid=845153172183757&id=211662168866197&refid=17
2014年10月17日,418,https://m.facebook.com/story.php?story_fbid=845143068851434&id=211662168866197&refid=17
2014年10月15日,"1,640",https://m.facebook.com/story.php?story_fbid=843466942352380&id=211662168866197&refid=17
2014年10月14日,627,https://m.facebook.com/story.php?story_fbid=843059895726418&id=211662168866197&refid=17
2014年10月13日,"2,608",https://m.facebook.com/story.php?story_fbid=842229842476090&id=211662168866197&refid=17
2014年10月11日,"1,915",https://m.facebook.com/story.php?story_fbid=840409005991507&id=211662168866197&refid=17
2014年10月9日,"3,661",https://m.facebook.com/story.php?story_fbid=839645359401205&id=211662168866197&refid=17
2014年10月9日,153,https://m.facebook.com/notes/%E5%AD%B8%E6%B0%91%E6%80%9D%E6%BD%AE-scholarism/%E4%BD%94%E9%A0%98%E9%81%8B%E5%8B%95-qa/839391382759936/?refid=17
2014年10月9日,"6,155",https://m.facebook.com/story.php?story_fbid=839202542778820&id=211662168866197&refid=17
2014年10月5日,"4,496",https://m.facebook.com/story.php?story_fbid=836914629674278&id=211662168866197&refid=17
2014年9月28日,"4,514",https://m.facebook.com/story.php?story_fbid=832775196754888&id=211662168866197&refid=17
2014年9月27日,"1,844",https://m.facebook.com/Scholarism/photos/a.360868947278851.86944.211662168866197/832150723484002/?type=1&relevant_count=1&refid=17
2014年9月27日,"1,199",https://m.facebook.com/story.php?story_fbid=831944213504653&id=211662168866197&refid=17
2014年9月27日,"1,077",https://m.facebook.com/Scholarism/photos/a.360868947278851.86944.211662168866197/831916580174083/?type=1&relevant_count=1&refid=17
2014年9月27日,"3,206",https://m.facebook.com/Scholarism/photos/a.211663245532756.57376.211662168866197/831916373507437/?type=1&relevant_count=1&refid=17
2014年9月22日,"1,283",https://m.facebook.com/Scholarism/albums/829369143762160/?refid=17
2014年9月21日,,
2014年9月18日,415,https://m.facebook.com/Scholarism/albums/827803590585382/?refid=17
2014年9月13日,"1,104",https://m.facebook.com/Scholarism/photos/a.211663245532756.57376.211662168866197/825221254176949/?type=1&relevant_count=1&refid=17
2014年9月8日,355,https://m.facebook.com/Scholarism/photos/a.360868947278851.86944.211662168866197/822639007768507/?type=1&relevant_count=1&refid=17
2014年9月2日,101,https://m.facebook.com/notes/%E5%AD%B8%E6%B0%91%E6%80%9D%E6%BD%AE-scholarism/%E8%81%B2%E6%98%8E%E5%90%9B%E6%82%85%E4%BF%9D%E5%AE%89%E4%BD%BF%E7%94%A8%E6%9A%B4%E5%8A%9B-%E5%9B%9B%E8%85%B3%E6%9C%9D%E5%A4%A9%E6%8A%AC%E8%B5%B0%E5%AD%B8%E7%94%9F/818676648164743/?refid=17
2014年9月2日,138,https://m.facebook.com/notes/%E5%AD%B8%E6%B0%91%E6%80%9D%E6%BD%AE-scholarism/%E8%81%B2%E6%98%8E%E4%BA%BA%E5%A4%A7%E8%90%BD%E9%96%98-%E6%89%BC%E6%AE%BA%E5%85%AC%E6%8F%90-%E5%AD%B8%E7%95%8C%E5%BA%95%E7%B7%9A-%E5%AF%B8%E6%AD%A5%E4%B8%8D%E8%AE%93/818675638164844/?refid=17
2014年9月1日,549,https://m.facebook.com/Scholarism/photos/a.598415333524210.1073741835.211662168866197/818007058231702/?type=1&source=46&refid=17
2014年8月29日,298,https://m.facebook.com/notes/%E5%AD%B8%E6%B0%91%E6%80%9D%E6%BD%AE-scholarism/%E8%81%B2%E6%98%8E%E5%9B%9E%E6%87%89%E5%AD%B8%E6%B0%91%E6%80%9D%E6%BD%AE%E7%94%B3%E8%AB%8B%E9%80%9A%E5%87%BD%E9%83%B5%E5%AF%84%E6%9C%8D%E5%8B%99%E8%A2%AB%E6%8B%92%E4%B8%80%E4%BA%8B/816807185018356/?refid=17
2014年7月14日,371,https://m.facebook.com/notes/%E5%AD%B8%E6%B0%91%E6%80%9D%E6%BD%AE-scholarism/%E8%81%B2%E6%98%8E%E6%9C%89%E9%97%9C%E7%A4%BA%E5%A8%81%E9%81%93%E5%85%B7%E5%BD%B1%E9%9F%BF%E7%92%B0%E5%A2%83%E4%B8%80%E4%BA%8B/793990887299986/?refid=17
2014年7月8日,669,https://m.facebook.com/Scholarism/photos/a.360868947278851.86944.211662168866197/790737454291996/?type=1&relevant_count=1&refid=17
2014年7月4日,"1,216",https://m.facebook.com/Scholarism/photos/a.360868947278851.86944.211662168866197/788734644492277/?type=1&relevant_count=1&refid=17
2014年7月3日,988,https://m.facebook.com/story.php?story_fbid=788355347863540&id=211662168866197&refid=17
2014年7月2日,928,https://m.facebook.com/Scholarism/albums/787700251262383/?refid=17
2014年7月2日,"1,047",https://m.facebook.com/Scholarism/albums/787695414596200/?refid=17
2014年7月1日,312,https://m.facebook.com/Scholarism/albums/786794238019651/?refid=17
2014年6月30日,511,https://m.facebook.com/Scholarism/photos/a.360868947278851.86944.211662168866197/786562371376171/?type=1&relevant_count=1&refid=17
2014年6月29日,"1,243",https://m.facebook.com/Scholarism/photos/a.360868947278851.86944.211662168866197/786213578077717/?type=1&relevant_count=1&refid=17
2014年6月23日,657,https://m.facebook.com/Scholarism/albums/782376665128075/?refid=17
2014年6月21日,454,https://m.facebook.com/Scholarism/photos/a.360868947278851.86944.211662168866197/781693181863090/?type=1&relevant_count=1&refid=17
2014年6月20日,199,https://m.facebook.com/story.php?story_fbid=781049241927484&id=211662168866197&refid=17
2014年6月19日,"1,540",https://m.facebook.com/Scholarism/albums/780680698631005/?refid=17
2014年6月17日,179,https://m.facebook.com/Scholarism/photos/a.217979064901174.59816.211662168866197/779418468757228/?type=1&source=46&refid=17
2014年6月16日,193,https://m.facebook.com/notes/%E5%AD%B8%E6%B0%91%E6%80%9D%E6%BD%AE-scholarism/%E5%AD%B8%E7%95%8C%E6%96%B9%E6%A1%88%E8%AA%8D%E5%91%BD%E6%8A%91%E6%88%96%E6%8A%97%E5%91%BD%E5%8F%AA%E6%98%AF%E4%B8%80%E7%B7%9A%E4%B9%8B%E5%B7%AE/778623165503425/?refid=17
2014年6月6日,154,https://m.facebook.com/notes/%E5%AD%B8%E6%B0%91%E6%80%9D%E6%BD%AE-scholarism/%E8%81%B2%E6%98%8E-%E6%84%9F%E6%BF%80%E5%B8%82%E6%B0%91%E6%85%B7%E6%85%A8%E8%A7%A3%E5%9B%8A-%E5%A0%85%E6%8C%81%E6%8E%A8%E5%8B%95%E5%AD%B8%E7%95%8C%E6%96%B9%E6%A1%88/773204829378592/?refid=17
2014年6月5日,807,https://m.facebook.com/Scholarism/albums/772982256067516/?refid=17
2014年6月2日,393,https://m.facebook.com/Scholarism/albums/770969066268835/?refid=17
2014年5月30日,123,https://m.facebook.com/notes/%E5%AD%B8%E6%B0%91%E6%80%9D%E6%BD%AE-scholarism/%E8%81%B2%E6%98%8E%E6%89%BF%E7%B9%BC%E5%AD%B8%E9%81%8B%E7%B2%BE%E7%A5%9E-%E4%B8%8D%E7%95%8F%E5%BC%B7%E6%AC%8A%E6%89%93%E5%A3%93/769771333055275/?refid=17
2014年5月19日,64,https://m.facebook.com/events/664433470273258?view=permalink&id=664433473606591&refid=17
2014年5月6日,307,https://m.facebook.com/Scholarism/albums/756991020999973/?refid=17
